Condition,BL#,Repeat,BATCH,Fly 1,Fly 1,Fly 2,Fly 2,Fly 3,Fly 3,Fly 4,Fly 4,Fly 5,Fly 5,Fly 6,Fly 6,Fly 7,Fly 7,Fly 8,Fly 8,Fly 9,Fly 9,Fly 10,Fly 10,FbID
CG11062,BL# 42493,1,0,20,20,17,17,19,22,21,20,20,20,21,20,18,21,21,20,21,18,17,19,FBgn0024913
CG1133,BL# 34706,1,0,17,21,18,18,20,19,16,16,18,21,17,19,20,21,20,18,17,19,21,22,FBgn0003002
CG12227,,1,0,20,22,21,22,21,22,23,21,20,23,23,20,20,22,21,21,19,19,,,FBgn0034863
CG1475,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0037351
CG17291,BL# 43283,1,0,20,21,22,19,19,19,16,22,19,20,18,19,19,21,22,19,20,18,20,21,FBgn0260439
CG4114,BL# 34968,1,0,22,20,23,21,23,23,23,23,23,19,26,23,22,21,23,24,26,21,23,22,FBgn0004583
CG42281,BL# 28322,1,0,16,12,10,10,17,15,15,15,13,16,17,16,15,14,12,14,15,16,12,13,FBgn0259176
CG5083,BL# 36697,1,0,18,19,21,25,18,20,21,20,18,21,22,20,21,21,19,22,18,22,19,19,FBgn0038390
CG7109,BL# 27723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0004177
CG7147,,1,0,19,21,21,20,22,21,17,18,19,22,22,21,20,21,19,17,19,20,21,20,FBgn0259984
CG7734,BL# 34689,1,0,21,26,23,24,24,21,20,19,23,18,25,21,24,23,,,,,,,FBgn0003396
CG9224,,1,0,18,19,20,19,19,20,21,17,18,20,17,20,20,18,21,21,18,23,16,20,FBgn0003463
OR,,1,0,17,18,17,17,20,18,18,18,19,17,17,21,17,19,17,16,17,18,19,19,Control
Tj>HpoRNAi,,1,0,21,18,19,18,19,18,19,20,21,20,19,21,21,19,19,20,17,20,19,17,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,0,22,21,26,26,23,27,22,27,20,26,20,20,19,20,22,22,,,,,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,0,21,22,24,22,20,22,21,26,18,24,21,21,20,19,20,19,24,22,23,18,Control
CG10079,BL# 31183,1,1,20,21,18,19,19,20,21,20,24,19,20,22,19,20,20,21,21,19,22,19,FBgn0003731
CG12306,BL# 33042,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0003124
CG1775,BL# 31928,1,1,21,18,22,20,21,20,23,20,20,23,19,19,19,19,19,21,18,19,18,18,FBgn0011655
CG18290,BL# 42652,1,1,19,24,22,22,21,20,21,19,22,21,23,22,24,22,22,21,20,20,22,23,FBgn0000046
CG2671,BL# 31517,1,1,22,24,18,20,19,21,21,20,21,19,19,21,19,21,23,21,19,17,18,18,FBgn0002121
CG3497,BL# 28900,1,1,25,22,14,18,21,25,26,23,23,20,23,22,23,21,24,24,25,24,23,22,FBgn0004837
CG6054,BL# 28559,1,1,21,22,22,24,21,20,20,19,22,19,20,21,23,29,22,20,23,22,22,21,FBgn0005355
CG7926,BL# 31705,1,1,20,21,17,19,19,18,19,19,19,20,22,22,19,16,18,19,19,24,21,21,FBgn0026597
OR,,1,1,18,18,16,18,15,18,17,17,20,20,17,18,20,20,17,18,20,16,18,22,Control
Tj>HpoRNAi,,1,1,20,20,21,20,21,22,18,19,19,19,19,19,19,17,22,20,20,21,20,18,Control
Tj>HpoRNAi,,2,1,19,16,17,21,20,18,18,19,21,21,19,18,20,20,18,21,20,20,20,18,Control
"Tj>HpoRNAi,Bab1RNAi",v50826,1,1,21,19,19,19,21,18,19,20,18,16,22,20,19,21,17,20,15,17,18,20,Control
"Tj>HpoRNAi,Bab2RNAi",BL# 35720,1,1,18,23,21,22,20,23,23,21,20,22,24,22,20,21,25,20,22,22,24,21,Control
"Tj>HpoRNAi,Hpo",,1,1,17,16,18,16,16,17,19,9,20,20,17,17,19,19,16,17,16,16,17,18,Control
"Tj>HpoRNAi,HpoRNAi",BL# 33614,1,1,19,23,21,21,20,18,18,23,20,21,18,19,23,19,18,18,21,17,19,24,Control
"Tj>HpoRNAi,Yki",,1,1,14,8,11,14,7,18,17,9,12,17,19,14,17,19,15,12,18,19,22,20,Control
"Tj>HpoRNAi,YkiRNAi",,1,1,22,22,19,18,13,19,18,20,18,19,17,16,16,18,14,18,20,18,17,16,Control
CG10079,CG10079,2,2,20,19,23,19,20,19,19,21,19,20,19,20,21,20,23,19,19,20,21,19,FBgn0003731
CG1081,BL# 33966,1,2,19,20,18,16,19,18,16,16,17,18,17,18,18,16,16,20,18,19,17,20,FBgn0041191
CG1725,BL# 36771,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0001624
CG2160,BL# 42830,1,2,22,25,25,22,26,20,25,22,25,29,25,23,20,25,26,23,25,21,24,24,FBgn0033266
CG2262,BL# 41670,1,2,10,13,12,10,11,15,13,11,13,15,8,9,15,11,12,10,13,14,10,14,FBgn0025800
CG2411,BL# 55686,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FBgn0003892
CG2845,BL# 55679,1,2,23,24,23,23,23,20,18,21,20,21,26,21,24,23,22,24,19,21,24,26,FBgn0003079
CG2855,BL# 38249,1,2,19,18,14,16,17,16,19,19,18,16,18,21,19,13,19,18,19,19,18,15,FBgn0031458
CG2863,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBgn0021874
CG3619,BL# 36784,1,2,17,16,18,19,17,18,18,25,19,18,16,21,18,16,20,17,18,19,26,20,FBgn0000463
CG4005,BL# 34067,1,2,17,14,18,14,14,19,19,18,19,17,22,16,17,19,18,17,0,0,19,17,FBgn0034970
CG4261,BL# 32895,1,2,23,26,25,22,24,25,21,26,24,24,23,21,23,20,26,19,27,23,22,24,FBgn0022787
CG4426,BL# 51700,1,2,21,20,22,22,25,24,21,23,20,23,21,23,22,21,19,21,18,20,20,22,FBgn0015905
CG4803,BL# 55899,1,2,21,23,20,23,25,23,22,23,22,20,22,25,22,21,24,27,28,20,16,22,FBgn0039015
CG5460,BL# 34703,1,2,19,19,18,23,20,22,26,22,21,28,26,23,28,24,24,26,21,27,22,25,FBgn0001169
CG6127,BL# 34700,1,2,21,21,21,18,20,21,23,22,20,20,19,19,18,21,22,24,19,22,18,21,FBgn0004197
CG6235,BL# 38899,1,2,22,19,20,18,21,18,22,20,24,19,17,17,21,16,25,21,19,23,26,24,FBgn0004889
CG6554,BL# 36891,1,2,21,22,23,25,21,24,21,23,22,23,18,25,23,25,19,21,20,21,20,24,FBgn0037834
CG6556,BL# 33366,1,2,22,19,18,19,22,19,25,22,17,17,17,23,21,22,18,17,22,19,17,19,FBgn0286070
CG6736,BL# 33682,1,2,18,21,18,19,22,22,20,23,19,23,22,22,20,21,18,22,22,18,20,18,FBgn0044049
CG7583,BL# 32889,1,2,12,9,9,13,11,10,12,10,10,11,12,9,10,12,9,9,12,11,11,10,FBgn0020496
CG7793,BL# 34833,1,2,12,11,9,13,13,13,14,14,10,13,15,17,14,13,15,14,12,10,13,15,FBgn0001965
CG7892,BL# 42570,1,2,24,22,21,21,21,19,20,20,21,21,20,18,22,21,19,22,24,23,19,18,FBgn0011817
